,3_w,Average,Balls,Economy,Innings,Runs,Wickets
KMDN Kulasekara,0,28,107,6.76,5,115,5
LH Ferguson,0,28,87,6.0,4,84,3
P Suyal,0,35,107,8.24,5,140,2
S Rana,0,9,16,9.0,3,18,0
GH Vihari,0,10,31,6.4,4,32,0
CL White,0,16,46,11.57,6,81,1
Anand Rajan,1,26,162,6.96,8,188,8
L Ablish,0,36,45,10.29,3,72,3
Avesh Khan,0,23,24,5.75,1,23,1
RR Bhatkal,0,35,12,17.5,1,35,0
A Nel,0,31,18,10.33,1,31,1
RG More,0,57,37,9.5,2,57,1
LRPL Taylor,0,23,13,11.5,2,23,0
RW Price,0,33,18,11.0,1,33,0
SA Abbott,0,55,32,11.0,2,55,0
AUK Pathan,0,28,41,9.5,3,57,0
PM Sarvesh Kumar,0,41,31,8.2,2,41,1
CJ McKay,0,60,42,8.57,2,60,1
NL McCullum,0,34,30,6.8,2,34,0
RR Bose,0,24,12,12.0,1,24,0
KAJ Roach,0,76,52,9.5,2,76,0
JM Kemp,1,17,45,7.29,4,51,3
AA Noffke,0,35,25,8.75,1,35,1
RD Chahar,0,54,46,7.71,2,54,2
GS Sandhu,0,82,48,10.25,2,82,1
DB Ravi Teja,0,28,18,9.33,2,28,1
LPC Silva,0,21,6,21.0,1,21,0
LA Carseldine,0,5,7,5.0,1,5,1
Tejas Baroka,0,33,21,11.0,1,33,0
AM Rahane,0,5,6,5.0,1,5,1
F du Plessis,0,16,6,16.0,1,16,0
Harmeet Singh (2),0,33,25,8.25,1,33,1
RA Tripathi,0,12,6,12.0,1,12,0
B Stanlake,0,68,50,8.5,2,68,2
Mashrafe Mortaza,0,54,28,13.5,1,54,0
SA Yadav,0,8,6,8.0,1,8,0
Shoaib Malik,0,19,58,8.56,5,77,2
S Sriram,0,49,18,16.33,2,49,0
RS Gavaskar,0,8,6,8.0,1,8,0
BJ Rohrer,0,11,7,11.0,1,11,0
GR Napier,0,27,24,6.75,1,27,1
Sachin Baby,0,8,10,8.0,2,8,2
DAJ Bracewell,1,31,25,7.75,1,31,3
AC Gilchrist,0,0,1,0.0,1,0,1
MG Neser,0,61,25,15.25,1,61,0
LMP Simmons,0,34,18,11.33,1,34,1
MB Parmar,0,32,19,10.67,1,32,0
