,Bat_Average,Bowl_Average,Economy,FastScorer,HardHitter,WicketTaker
RR Rossouw,10.6,0.0,0.0,1.0392156862745099,0.5882352941176471,0.0
RE van der Merwe,15.9,23.142857142857142,6.408791208791209,1.1041666666666667,0.6388888888888888,21.666666666666668
Younis Khan,3.0,0.0,0.0,0.42857142857142855,0.0,0.0
S Randiv,2.0,36.166666666666664,7.233333333333333,0.5,0.0,30.0
SP Fleming,24.5,0.0,0.0,1.1461988304093567,0.7368421052631579,0.0
LJ Wright,26.5,60.0,9.6,1.6825396825396826,1.3015873015873016,37.5
BB Sran,4.0,32.5,7.913043478260869,1.0,0.0,24.642857142857142
RV Uthappa,31.223140495867767,0.0,0.0,1.2763513513513514,0.7628378378378379,0.0
W Jaffer,18.571428571428573,0.0,0.0,1.0077519379844961,0.5736434108527132,0.0
Vishnu Vinod,9.5,0.0,0.0,0.7307692307692307,0.38461538461538464,0.0
MJ Guptill,21.0,0.0,0.0,1.3216783216783217,0.8951048951048951,0.0
AJ Finch,29.163636363636364,66.0,9.0,1.265982636148382,0.8161010260457774,44.0
F Behardien,7.0,0.0,0.0,1.0769230769230769,0.6153846153846154,0.0
S Anirudha,17.0,0.0,0.0,1.1239669421487604,0.6446280991735537,0.0
P Kumar,12.142857142857142,34.51111111111111,7.06712172923777,1.0526315789473684,0.5882352941176471,29.3
DAJ Bracewell,12.0,10.333333333333334,7.44,1.3333333333333333,0.4444444444444444,8.333333333333334
HH Pandya,22.555555555555557,52.5,8.4,1.326797385620915,0.8627450980392157,37.5
M Manhas,24.476190476190474,42.0,6.0,1.0576131687242798,0.4773662551440329,42.0
SB Joshi,6.0,82.0,8.945454545454545,0.375,0.0,55.0
RV Gomez,10.0,25.6,7.917525773195877,0.9433962264150944,0.49056603773584906,19.4
RG More,2.0,57.0,9.243243243243244,1.0,0.0,37.0
SS Tiwary,31.121951219512194,0.0,0.0,1.1485148514851484,0.5778577857785778,0.0
